timestamps,Fz,F3,C4,Cz,Pz,P3,O2,O1,Marker
14135.001,-9572.313,-8819.238,-3502.429,-7345.610,3225.804,-10702.328,-2870.076,-611.678,0
14135.001,-9571.844,-8824.737,-3502.205,-7357.814,3231.034,-10710.665,-2858.699,-600.636,0
14135.001,-9568.156,-8825.318,-3496.908,-7361.458,3232.308,-10714.935,-2849.646,-601.843,0
14135.001,-9568.066,-8822.726,-3493.220,-7351.086,3228.665,-10707.514,-2862.633,-600.368,0
14135.001,-9572.560,-8821.697,-3496.685,-7341.140,3223.658,-10703.804,-2869.338,-623.703,0
14135.002,-9574.057,-8823.843,-3501.200,-7346.191,3225.826,-10704.876,-2871.551,-611.499,0
14135.002,-9572.515,-8827.911,-3501.758,-7359.155,3229.805,-10714.175,-2863.169,-603.922,0
14135.002,-9571.911,-8831.644,-3499.657,-7362.821,3233.157,-10712.364,-2849.758,-571.959,0
14135.002,-9570.033,-8828.983,-3496.841,-7351.802,3228.754,-10705.726,-2847.344,-586.912,0
14135.002,-9572.336,-8826.391,-3498.540,-7341.028,3224.373,-10700.920,-2855.748,-610.538,0
14135.003,-9576.023,-8829.252,-3504.329,-7346.214,3225.491,-10701.858,-2870.657,-609.398,0
14135.003,-9579.310,-8834.304,-3507.235,-7360.072,3231.950,-10706.978,-2857.358,-583.381,0
14135.003,-9578.527,-8833.924,-3502.161,-7363.268,3236.108,-10708.408,-2839.208,-583.850,0
14135.003,-9581.790,-8834.103,-3500.596,-7354.193,3233.828,-10702.238,-2836.950,-595.138,0
14135.061,-9587.155,-8833.723,-3504.575,-7343.934,3229.782,-10695.556,-2853.469,-602.022,0
14135.061,-9585.791,-8833.432,-3509.358,-7348.270,3227.458,-10698.372,-2874.457,-601.910,0
14135.061,-9583.333,-8836.427,-3510.543,-7360.184,3232.375,-10703.848,-2859.369,-578.687,0
14135.061,-9580.763,-8836.315,-3505.804,-7363.067,3234.163,-10708.653,-2841.734,-580.408,0
14135.061,-9579.936,-8832.448,-3501.669,-7351.936,3229.917,-10703.960,-2858.185,-596.792,0
14135.061,-9581.120,-8829.297,-3503.904,-7342.146,3224.329,-10700.093,-2871.864,-620.440,0
14135.062,-9579.757,-8829.162,-3508.419,-7346.594,3225.983,-10701.702,-2865.896,-605.308,0
14135.062,-9579.757,-8834.125,-3507.078,-7359.669,3229.849,-10711.067,-2852.686,-591.695,0
14135.062,-9577.924,-8835.242,-3501.378,-7362.419,3232.889,-10712.789,-2842.538,-581.950,0
14135.062,-9577.365,-8832.538,-3499.367,-7352.450,3229.537,-10706.754,-2852.574,-589.036,0
14135.062,-9579.622,-8827.554,-3501.110,-7342.526,3224.999,-10699.109,-2876.759,-607.789,0
14135.063,-9584.495,-8831.375,-3505.804,-7348.315,3224.999,-10701.099,-2879.061,-606.068,0
14135.063,-9585.568,-8836.695,-3505.670,-7359.558,3229.648,-10710.531,-2857.872,-598.401,0
14135.063,-9582.931,-8838.886,-3502.004,-7362.799,3231.190,-10714.577,-2847.590,-604.861,0
14135.063,-9582.953,-8838.572,-3498.696,-7351.623,3230.922,-10707.201,-2846.986,-600.457,0
14135.121,-9585.076,-8837.433,-3501.446,-7341.900,3226.385,-10700.384,-2872.579,-596.099,0
14135.121,-9585.523,-8839.601,-3505.000,-7347.220,3224.597,-10707.201,-2878.592,-619.032,0
14135.121,-9585.992,-8844.786,-3507.860,-7360.519,3230.140,-10714.912,-2855.413,-600.413,0
14135.121,-9581.991,-8846.329,-3504.105,-7363.246,3232.129,-10717.505,-2846.182,-588.834,0
14135.121,-9578.930,-8841.031,-3500.127,-7351.489,3230.028,-10709.056,-2853.469,-587.113,0
14135.122,-9579.667,-8833.901,-3503.569,-7340.581,3224.440,-10702.283,-2880.670,-599.027,0
14135.122,-9579.891,-8832.516,-3507.615,-7344.649,3224.641,-10706.530,-2879.598,-610.516,0
14135.122,-9580.472,-8838.595,-3506.586,-7357.323,3229.715,-10716.856,-2846.696,-613.757,0
14135.122,-9579.131,-8840.473,-3503.301,-7361.123,3233.359,-10715.337,-2837.912,-594.981,0
14135.122,-9576.202,-8834.729,-3499.747,-7350.572,3230.587,-10706.821,-2849.400,-586.376,0
14135.122,-9578.952,-8833.723,-3502.272,-7341.185,3223.591,-10704.496,-2873.741,-616.439,0
14135.123,-9584.651,-8838.192,-3509.380,-7347.689,3222.652,-10708.811,-2881.028,-608.102,0
14135.123,-9585.166,-8841.479,-3510.744,-7360.362,3226.519,-10717.907,-2866.924,-593.081,0
14135.123,-9581.656,-8840.763,-3506.788,-7362.933,3229.380,-10719.137,-2854.005,-579.536,0
14135.123,-9579.578,-8835.801,-3504.306,-7352.808,3225.267,-10714.130,-2864.287,-598.535,0
14135.181,-9581.188,-8831.979,-3506.050,-7342.414,3220.953,-10709.012,-2878.771,-622.854,0
14135.181,-9583.042,-8832.604,-3509.716,-7347.063,3223.814,-10709.615,-2882.637,-617.199,0
14135.182,-9583.154,-8837.209,-3508.710,-7359.580,3228.978,-10716.790,-2867.662,-606.380,0
14135.182,-9580.539,-8837.410,-3504.776,-7363.715,3230.811,-10718.556,-2854.407,-596.277,0
14135.182,-9578.035,-8831.085,-3502.943,-7353.389,3227.346,-10710.621,-2861.314,-597.596,0
14135.182,-9579.980,-8825.452,-3506.966,-7342.749,3222.965,-10704.184,-2873.719,-622.742,0
14135.182,-9586.529,-8831.085,-3513.672,-7348.784,3224.776,-10705.256,-2868.802,-609.800,0
14135.182,-9587.133,-8835.466,-3515.013,-7360.250,3229.626,-10711.783,-2855.368,-588.968,0
14135.183,-9583.981,-8833.924,-3510.811,-7360.832,3230.788,-10715.359,-2856.151,-597.082,0
14135.183,-9585.770,-8832.270,-3509.537,-7350.684,3227.346,-10707.760,-2861.359,-599.317,0
14135.183,-9590.843,-8832.649,-3513.337,-7342.749,3221.557,-10701.858,-2875.396,-609.085,0
14135.183,-9591.603,-8835.354,-3515.594,-7346.951,3222.943,-10703.356,-2879.933,-606.828,0
14135.183,-9589.100,-8839.109,-3514.432,-7357.971,3227.927,-10709.883,-2863.348,-591.047,0
14135.183,-9586.417,-8839.153,-3509.492,-7360.250,3230.341,-10711.537,-2848.350,-585.169,0
14135.184,-9586.932,-8835.556,-3507.570,-7350.170,3227.994,-10703.200,-2852.016,-583.023,0
14135.241,-9589.032,-8834.259,-3509.179,-7340.693,3224.150,-10697.053,-2867.639,-604.950,0
14135.242,-9590.687,-8833.745,-3514.879,-7346.951,3224.060,-10699.154,-2874.345,-595.115,0
14135.242,-9589.993,-8836.271,-3516.063,-7358.664,3227.458,-10707.805,-2861.739,-586.130,0
14135.242,-9586.193,-8834.907,-3511.258,-7360.407,3231.772,-10708.587,-2850.406,-583.559,0
14135.242,-9584.629,-8828.983,-3510.163,-7351.176,3229.335,-10701.322,-2861.046,-588.790,0
14135.243,-9586.887,-8825.631,-3512.174,-7341.587,3224.217,-10697.769,-2875.105,-609.912,0
14135.243,-9588.161,-8826.972,-3515.996,-7346.817,3224.552,-10703.334,-2877.698,-617.623,0
